ac_number,constituency,candidate,party,votes,region,reserved
1,Gummidipundi,GOVINDARAJAN T.J,DMK,126452,Chennai Metro,GEN
2,Ponneri,DURAI. CHANDRASEKAR,INC,94528,Chennai Metro,SC
3,Tiruttani,S.Chandran,DMK,120314,Chennai Metro,GEN
4,Thiruvallur,"RAAJENDRAN, V.G.",DMK,107709,Chennai Metro,GEN
5,Poonamallee,Krishnaswamy A,DMK,149578,Chennai Metro,SC
6,Avadi,Nasar S M,DMK,150287,Chennai Metro,GEN
7,Maduravoyal,GANAPATHY.K,DMK,121298,Chennai Metro,GEN
8,Ambattur,JOSEPH SAMUEL,DMK,114554,Chennai Metro,GEN
9,Madavaram,SUDHARSANAM. S,DMK,151485,Chennai Metro,GEN
10,Thiruvottiyur,K.P.SHANKAR,DMK,88185,Chennai Metro,GEN
11,Dr. Radhakrishnan Nagar,EBENEZER. J.J. (@)  JOHN EBENEZER.J,DMK,95763,Chennai Metro,GEN
12,Perambur,SHEKAR. R.D,DMK,105267,Chennai Metro,GEN
13,Kolathur,M.K. STALIN,DMK,105522,Chennai Metro,GEN
14,Villivakkam,A . Vetriazhagan,DMK,76127,Chennai Metro,GEN
15,Thiru-Vi-Ka-Nagar,SIVAKUMAR.P,DMK,81727,Chennai Metro,SC
16,Egmore,I.PARANTHAMEN,DMK,68832,Chennai Metro,SC
17,Royapuram,MURTHY.R.IDREAM,DMK,64424,Chennai Metro,GEN
18,Harbour,SEKARBABU. P.K,DMK,59317,Chennai Metro,GEN
19,Chepauk-Thiruvallikeni,UDHAYANIDHI STALIN,DMK,93285,Chennai Metro,GEN
20,Thousand Lights,EZHILAN N,DMK,71867,Chennai Metro,GEN
21,Anna Nagar,M.K. Mohan,DMK,80054,Chennai Metro,GEN
22,Virugampakkam,AMV.PRABHAKARA RAJA,DMK,74351,Chennai Metro,GEN
23,Saidapet,SUBRAMANIAN. MA,DMK,80194,Chennai Metro,GEN
24,Theayagaraya Nagar,KARUNANITHI J,DMK,56035,Chennai Metro,GEN
25,Mylapore,VELU.DHA,DMK,68392,Chennai Metro,GEN
26,Velachery,JMH.AASSAN MAULAANA,INC,68493,Chennai Metro,GEN
27,Shozhinganallur,S.ARAVINDRAMESH,DMK,171558,Chennai Metro,GEN
28,Alandur,T.M.Anbarasan,DMK,116785,Chennai Metro,GEN
29,Sriperumbudur,SELVAPERUNTHAGAI,INC,115353,Chennai Metro,SC
30,Pallavaram,KARUNANITHI,DMK,126427,Chennai Metro,GEN
